year,NMC111,NMC523,NMC622,NMC811,NCA,LMO,LTO,LCO,LFP,UnknownLiIon,Unknown,Unspec.
2010,0.544439482,0,0,0,0,0,0,0,0.455560518,0,0,0
2011,0.218647598,0,0,0,0,0,0,0,0.781352402,0,0,0
2012,0.264891038,0,0,0,0,0.001232695,0,0,0.681794913,0.052081354,0,0
2013,0.269200725,0,0,0,0,0.014503783,0,0,0.70706276,0.009232732,0,0
2014,0.323932953,0,0,0,0.198626276,0.008974323,0,0,0.466538974,0.001927475,0,0
2015,0.484638581,0.05488896,0,0,0.07102717,0.009285792,0,0,0.39722856,0.006735608,0,0.031084289
2016,0.528910599,0.108826808,0.044605125,0,0.071417788,0.005379743,0,0,0.329897141,0.006252187,0.002247006,0.055895536
2017,0.33930997,0.259092936,0.052216126,0,0.068698886,0.000273285,0,0,0.188964005,0.003187711,0.014413007,0.073844075
2018,0.32531331,0.304209545,0.099690641,0.011269485,0.033192237,0.00025351,0,0,0.17010758,0.011005736,0.004810614,0.040147341
2019,0.286122967,0.321688981,0.159372214,0.031660143,0.080182829,0,0,0,0.088587273,0.008400428,0.002658966,0.0213262
2020,0.272498064,0.306370458,0.151783061,0.077771565,0.076364599,0,0,0,0.084368831,0.008000408,0.002532349,0.020310667
2021,0.258873161,0.291051935,0.144193908,0.123882987,0.072546369,0,0,0,0.08015039,0.007600387,0.002405731,0.019295133
2022,0.245248257,0.275733412,0.136604755,0.169994408,0.068728139,0,0,0,0.075931948,0.007200367,0.002279114,0.0182796
2023,0.231623354,0.260414889,0.129015602,0.21610583,0.064909909,0,0,0,0.071713507,0.006800346,0.002152496,0.017264067
2024,0.217998451,0.245096366,0.121426449,0.262217252,0.061091679,0,0,0,0.067495065,0.006400326,0.002025879,0.016248533
2025,0.204373548,0.229777844,0.113837296,0.308328674,0.057273449,0,0,0,0.063276624,0.006000306,0.001899261,0.015233
2026,0.190748645,0.214459321,0.106248143,0.354440095,0.053455219,0,0,0,0.059058182,0.005600285,0.001772644,0.014217467
2027,0.177123741,0.199140798,0.09865899,0.400551517,0.049636989,0,0,0,0.05483974,0.005200265,0.001646027,0.013201933
2028,0.163498838,0.183822275,0.091069837,0.446662939,0.045818759,0,0,0,0.050621299,0.004800245,0.001519409,0.0121864
2029,0.149873935,0.168503752,0.083480684,0.492774361,0.042000529,0,0,0,0.046402857,0.004400224,0.001392792,0.011170867
2030,0.136249032,0.153185229,0.07589153,0.538885782,0.0381823,0,0,0,0.042184416,0.004000204,0.001266174,0.010155333
2031,0.122624129,0.137866706,0.068302377,0.584997204,0.03436407,0,0,0,0.037965974,0.003600183,0.001139557,0.0091398
2032,0.108999226,0.122548183,0.060713224,0.631108626,0.03054584,0,0,0,0.033747533,0.003200163,0.001012939,0.008124267
2033,0.095374322,0.10722966,0.053124071,0.677220048,0.02672761,0,0,0,0.029529091,0.002800143,0.000886322,0.007108733
2034,0.081749419,0.091911137,0.045534918,0.723331469,0.02290938,0,0,0,0.025310649,0.002400122,0.000759705,0.0060932
2035,0.068124516,0.076592615,0.037945765,0.769442891,0.01909115,0,0,0,0.021092208,0.002000102,0.000633087,0.005077667
2036,0.054499613,0.061274092,0.030356612,0.815554313,0.01527292,0,0,0,0.016873766,0.001600082,0.00050647,0.004062133
2037,0.04087471,0.045955569,0.022767459,0.861665735,0.01145469,0,0,0,0.012655325,0.001200061,0.000379852,0.0030466
2038,0.027249806,0.030637046,0.015178306,0.907777156,0.00763646,0,0,0,0.008436883,0.000800041,0.000253235,0.002031067
2039,0.013624903,0.015318523,0.007589153,0.953888578,0.00381823,0,0,0,0.004218442,0.00040002,0.000126617,0.001015533
2040,0,0,0,1,0,0,0,0,0,0,0,0
