Year,Europe.Sales.Market,Europe.Cum.Sales.Market,Europe.Sales.BNEF,Europe.Sales.IEA,Europe.Sales.Policy,Europe.Cum.Sales.Policy,China.Sales.Market,China.Cum.Sales.Market,China.Sales.BNEF,China.Sales.IEA,China.Sales.Policy,China.Cum.Sales.Policy,US.Sales.Market,US.Cum.Sales.Market,US.Sales.BNEF,US.Sales.IEA,US.Sales.Policy,US.Cum.Sales.Policy,RoW.Sales.Market,RoW.Cum.Sales.Market,RoW.Sales.BNEF,RoW.Sales.IEA,RoW.Sales.Policy,RoW.Cum.Sales.Policy
2010,1870,1870,1870,1870,1870,1870,1063,1063,1063,1063,1063,1063,839,839,839,839,839,839,2683,2683,2683,2683,2683,2683
2011,12972,12972,12972,12972,12972,12972,4181,4181,4181,4181,4181,5244,18350,18350,18350,18350,18350,18350,17985,17985,17985,17985,17985,17985
2012,42479,42479,42479,42479,42479,42479,10587,10587,10587,10587,10587,15831,54921,54921,54921,54921,54921,54921,42898,42898,42898,42898,42898,42898
2013,66286,66286,66286,66286,66286,66286,13168,13168,13168,13168,13168,28999,95975,95975,95975,95975,95975,95975,77666,77666,77666,77666,77666,77666
2014,98744,98744,98744,98744,98744,98744,63455,63455,63455,63455,63455,92454,119447,119447,119447,119447,119447,119447,119778,119778,119778,119778,119778,119778
2015,195950,195950,195950,195950,195950,195950,189645,189645,189645,189645,189645,282099,115859,115859,115859,115859,115859,115859,164319,164319,164319,164319,164319,164319
2016,221656,221656,221656,221656,221656,221656,370805,370805,370805,370805,370805,652904,158318,158318,158318,158318,158318,158318,209578,209578,209578,209578,209578,209578
2017,308109,308109,308109,308109,308109,308109,647712,647712,647712,647712,647712,1300616,202116,202116,202116,202116,202116,202116,320432,320432,320432,320432,320432,320432
2018,411825,411825,411825,411825,411825,411825,1161429,1161429,1161429,1161429,1161429,2462045,361272,361272,361272,361272,361272,361272,472973,472973,472973,472973,472973,472973
2019,591777,591777,591777,591777,591777,591777,1195606,1195606,1195606,1195606,1195606,3657651,319834,319834,319834,319834,319834,319834,636824,636824,636824,636824,636824,636824
