year,NMC111,NMC523,NMC622,NMC811,NCA,LMO,LTO,LCO,LFP,UnknownLiIon,Unknown,Unspec.
2010,0.275315388,0,0,0,0,0.245349166,0,0,0,0.046537422,0.432798024,0
2011,0.190706819,0,0,0,0,0.715638959,0,0,0.00436308,0.015449594,0.073841549,0
2012,0.274586384,0,0,0,0,0.682168084,0,0,0.015297024,0.00598065,0.021967859,0
2013,0.36979606,0,0,0,0.226164556,0.389948056,0,0,0.003935959,0.001039197,0.009116171,0
2014,0.353026365,0,0,0,0.318158343,0.324287498,0,0,0.001490056,0.000416675,0.002621063,0
2015,0.416117521,0.047128435,0,0,0.357545599,0.22472022,0,0,5.66E-05,0,0.00156006,0
2016,0.460626319,0.094776871,0.038846441,0,0.311409609,0.218421416,0,0,7.01E-05,0.007863309,0.001609249,0
2017,0.279836207,0.213679499,0.043063759,0,0.326003951,0.125351671,0,0,0.00011381,0.010739136,0.001211966,0
2018,0.318070777,0.29743685,0.097471203,0.01101859,0.223291424,0.049391841,0,0,0.002045718,0.000363953,0.000909644,0
2019,0.211651316,0.237960263,0.117891057,0.023419689,0.372886482,0.03433591,0,0,0.001326486,9.03E-05,0.000438514,0
2020,0.201572682,0.226628822,0.112277197,0.069923513,0.355129983,0.032700867,0,0,0.00126332,0.000086,0.000417632,0
2021,0.191494048,0.215297381,0.106663337,0.116427338,0.337373484,0.031065823,0,0,0.001200154,0.0000817,0.000396751,0
2022,0.181415414,0.20396594,0.101049477,0.162931162,0.319616985,0.02943078,0,0,0.001136988,0.0000774,0.000375869,0
2023,0.17133678,0.192634499,0.095435618,0.209434986,0.301860485,0.027795737,0,0,0.001073822,0.0000731,0.000354988,0
2024,0.161258146,0.181303058,0.089821758,0.255938811,0.284103986,0.026160693,0,0,0.001010656,0.0000688,0.000334106,0
2025,0.151179511,0.169971616,0.084207898,0.302442635,0.266347487,0.02452565,0,0,0.00094749,0.0000645,0.000313224,0
2026,0.141100877,0.158640175,0.078594038,0.348946459,0.248590988,0.022890607,0,0,0.000884324,0.0000602,0.000292343,0
2027,0.131022243,0.147308734,0.072980178,0.395450284,0.230834489,0.021255563,0,0,0.000821158,0.0000559,0.000271461,0
2028,0.120943609,0.135977293,0.067366318,0.441954108,0.21307799,0.01962052,0,0,0.000757992,0.0000516,0.000250579,0
2029,0.110864975,0.124645852,0.061752458,0.488457932,0.195321491,0.017985477,0,0,0.000694826,0.0000473,0.000229698,0
2030,0.100786341,0.113314411,0.056138599,0.534961757,0.177564991,0.016350433,0,0,0.00063166,0.000043,0.000208816,0
2031,0.090707707,0.10198297,0.050524739,0.581465581,0.159808492,0.01471539,0,0,0.000568494,0.0000387,0.000187935,0
2032,0.080629073,0.090651529,0.044910879,0.627969405,0.142051993,0.013080347,0,0,0.000505328,0.0000344,0.000167053,0
2033,0.070550439,0.079320088,0.039297019,0.67447323,0.124295494,0.011445303,0,0,0.000442162,0.0000301,0.000146171,0
2034,0.060471805,0.067988647,0.033683159,0.720977054,0.106538995,0.00981026,0,0,0.000378996,0.0000258,0.00012529,0
2035,0.05039317,0.056657205,0.028069299,0.767480878,0.088782496,0.008175217,0,0,0.00031583,0.0000215,0.000104408,0
2036,0.040314536,0.045325764,0.022455439,0.813984703,0.071025997,0.006540173,0,0,0.000252664,0.0000172,8.35E-05,0
2037,0.030235902,0.033994323,0.01684158,0.860488527,0.053269497,0.00490513,0,0,0.000189498,0.0000129,6.26E-05,0
2038,0.020157268,0.022662882,0.01122772,0.906992351,0.035512998,0.003270087,0,0,0.000126332,8.60E-06,4.18E-05,0
2039,0.010078634,0.011331441,0.00561386,0.953496176,0.017756499,0.001635043,0,0,6.32E-05,4.30E-06,2.09E-05,0
2040,0,0,0,1,0,0,0,0,0,0,0,0
