Year,China,Japan,US,RoW,Europe
2020,1030000,50000,340000,480000,670000
2021,1532000,240000,520000,1450000,1448000
2022,2034000,430000,700000,2420000,2226000
2023,2536000,620000,880000,3390000,3004000
2024,3038000,810000,1060000,4360000,3782000
2025,3540000,1000000,1240000,5330000,4560000
2026,5146000,1100000,2002000,7206000,5348000
2027,6752000,1200000,2764000,9082000,6136000
2028,8358000,1300000,3526000,10958000,6924000
2029,9964000,1400000,4288000,12834000,7712000
2030,11570000,1500000,5050000,14710000,8500000
2031,13552000,1646000,6006000,17792000,9312000
2032,15534000,1792000,6962000,20874000,10124000
2033,17516000,1938000,7918000,23956000,10936000
2034,19498000,2084000,8874000,27038000,11748000
2035,21480000,2230000,9830000,30120000,12560000
2036,19558000,2214000,9920000,31604000,12750000
2037,17636000,2198000,10010000,33088000,12940000
2038,15714000,2182000,10100000,34572000,13130000
2039,13792000,2166000,10190000,36056000,13320000
2040,11870000,2150000,10280000,37540000,13510000
