Year,NMC111,NMC523,NMC622,NMC811,NCA,LMO,LTO,LCO,LFP,UnknownLiIon,Unknown,Unspec.
2010,0.336050865,0,0,0,0,0.371424292,0.08101728,0.223011475,0,0,0,0
2011,0.448372164,0,0,0,0.094357426,0.351009624,0.094810342,0.036006794,0,0,0,0
2012,0.276100889,0,0,0,0.37854925,0.316000176,0.037402543,0,0,0,0,0
2013,0.306542743,0,0,0,0.445800885,0.240811287,0.007402569,0,0,0,0,0
2014,0.186688581,0,0,0,0.582863218,0.226887312,0.001962711,0,0,0,0,0
2015,0.342595897,0.038801559,0,0,0.494185814,0.125978112,0.001950637,0,0,0,0,0
2016,0.447175509,0.092009279,0.037712081,0,0.492526533,0.056004971,0.000567086,0,0,0,0,0
2017,0.314505451,0.240152509,0.048398979,0,0.274848316,0.036642021,0.00019169,0,0,0,0.002220443,0
2018,0.204631813,0.191356913,0.062708399,0.007088844,0.439774867,0.020931353,5.70E-06,0,0,0,0.00308494,0
2019,0.150226927,0.168900622,0.083677302,0.016622944,0.536952461,0.010257839,0,0,0,0,0.047404089,0
2020,0.143073264,0.160857735,0.079692669,0.063450423,0.511383296,0.00976937,0,0,0,0,0.045146751,0
2021,0.135919601,0.152814848,0.075708035,0.110277902,0.485814131,0.009280902,0,0,0,0,0.042889414,0
2022,0.128765937,0.144771962,0.071723402,0.157105381,0.460244967,0.008792433,0,0,0,0,0.040632076,0
2023,0.121612274,0.136729075,0.067738768,0.203932859,0.434675802,0.008303965,0,0,0,0,0.038374739,0
2024,0.114458611,0.128686188,0.063754135,0.250760338,0.409106637,0.007815496,0,0,0,0,0.036117401,0
2025,0.107304948,0.120643301,0.059769501,0.297587817,0.383537472,0.007327028,0,0,0,0,0.033860064,0
2026,0.100151285,0.112600415,0.055784868,0.344415296,0.357968307,0.006838559,0,0,0,0,0.031602726,0
2027,0.092997621,0.104557528,0.051800235,0.391242775,0.332399143,0.006350091,0,0,0,0,0.029345388,0
2028,0.085843958,0.096514641,0.047815601,0.438070254,0.306829978,0.005861622,0,0,0,0,0.027088051,0
2029,0.078690295,0.088471754,0.043830968,0.484897733,0.281260813,0.005373154,0,0,0,0,0.024830713,0
2030,0.071536632,0.080428868,0.039846334,0.531725211,0.255691648,0.004884685,0,0,0,0,0.022573376,0
2031,0.064382969,0.072385981,0.035861701,0.57855269,0.230122483,0.004396217,0,0,0,0,0.020316038,0
2032,0.057229306,0.064343094,0.031877067,0.625380169,0.204553318,0.003907748,0,0,0,0,0.018058701,0
2033,0.050075642,0.056300207,0.027892434,0.672207648,0.178984154,0.00341928,0,0,0,0,0.015801363,0
2034,0.042921979,0.048257321,0.023907801,0.719035127,0.153414989,0.002930811,0,0,0,0,0.013544025,0
2035,0.035768316,0.040214434,0.019923167,0.765862606,0.127845824,0.002442343,0,0,0,0,0.011286688,0
2036,0.028614653,0.032171547,0.015938534,0.812690085,0.102276659,0.001953874,0,0,0,0,0.00902935,0
2037,0.02146099,0.02412866,0.0119539,0.859517563,0.076707494,0.001465406,0,0,0,0,0.006772013,0
2038,0.014307326,0.016085774,0.007969267,0.906345042,0.05113833,0.000976937,0,0,0,0,0.004514675,0
2039,0.007153663,0.008042887,0.003984633,0.953172521,0.025569165,0.000488469,0,0,0,0,0.002257338,0
2040,0,0,0,1,0,0,0,0,0,0,0,0
