Europe,Europe,China,China,US,US,RoW,RoW,Europe,Europe,China,China,US,US,RoW,RoW
18808688,18808688,18111173,18111173,11772219,11772219,26279443,26279443,18808688,18808688,18111173,18111173,11772219,11772219,26279443,26279443
19740019,19740019,18558447,18558447,13040613,13040613,26831341,26831341,19740019,19740019,18558447,18558447,13040613,13040613,26831341,26831341
18663178,18663178,19360344,19360344,14785936,14785936,29319680,29319680,18663178,18663178,19360344,19360344,14785936,14785936,29319680,29319680
18343409,18343409,22041628,22041628,15883443,15883443,29337656,29337656,18343409,18343409,22041628,22041628,15883443,15883443,29337656,29337656
18587650,18587650,23561201,23561201,16843464,16843464,29345783,29345783,18587650,18587650,23561201,23561201,16843464,16843464,29345783,29345783
19035989,19035989,24720402,24720402,17845624,17845624,28082593,28082593,19035989,19035989,24720402,24720402,17845624,17845624,28082593,28082593
20134829,20134829,28074375,28074375,17865773,17865773,27781410.77,27781410.77,20134829,20134829,28074375,28074375,17865773,17865773,27781410.77,27781410.77
20755099,20755099,28920810,28920810,17550521,17550521,28434176,28434176,20755099,20755099,28920810,28920810,17550521,17550521,28434176,28434176
20697887,20697887,28119716,28119716,17701402,17701402,28536932.32,28536932.32,20697887,20697887,28119716,28119716,17701402,17701402,28536932.32,28536932.32
20807165,20807165,25802793,25802793,17480004,17480004,27206776,27206776,20807165,20807165,25802793,25802793,17480004,17480004,27206776,27206776
16109865.99,16109865.99,25857606.8,25857606.8,17216694.43,17216694.43,33371607.7,33371607.7,16109865.99,16109865.99,25857606.8,25857606.8,17216694.43,17216694.43,33371607.7,33371607.7
16310554.43,16310554.43,26312742.4,26312742.4,17289150.74,17289150.74,34020830.61,34020830.61,16310554.43,16310554.43,26312742.4,26312742.4,17289150.74,17289150.74,34020830.61,34020830.61
16509434.24,16509434.24,26766882.85,26766882.85,17359983.53,17359983.53,34690427.15,34690427.15,16509434.24,16509434.24,26766882.85,26766882.85,17359983.53,17359983.53,34690427.15,34690427.15
16705854.14,16705854.14,27218602.1,27218602.1,17435249.14,17435249.14,35367414.52,35367414.52,16705854.14,16705854.14,27218602.1,27218602.1,17435249.14,17435249.14,35367414.52,35367414.52
16899108.13,16899108.13,27666329.28,27666329.28,17503717.18,17503717.18,36049113.84,36049113.84,16899108.13,16899108.13,27666329.28,27666329.28,17503717.18,17503717.18,36049113.84,36049113.84
17088444.11,17088444.11,27832791.13,27832791.13,17570139.5,17570139.5,36734263.75,36734263.75,17088444.11,17088444.11,27832791.13,27832791.13,17570139.5,17570139.5,36734263.75,36734263.75
17199135.35,17199135.35,27985977.46,27985977.46,17634269.01,17634269.01,37421128.82,37421128.82,17199135.35,17199135.35,27985977.46,27985977.46,17634269.01,17634269.01,37421128.82,37421128.82
17303089.71,17303089.71,28124388.4,28124388.4,17695828.9,17695828.9,38099298.15,38099298.15,17303089.71,17303089.71,28124388.4,28124388.4,17695828.9,17695828.9,38099298.15,38099298.15
17399616.18,17399616.18,28246579.68,28246579.68,17754486.16,17754486.16,38765143.34,38765143.34,17399616.18,17399616.18,28246579.68,28246579.68,17754486.16,17754486.16,38765143.34,38765143.34
17488082.68,17488082.68,28351229.41,28351229.41,17811135.1,17811135.1,39416135.11,39416135.11,17488082.68,17488082.68,28351229.41,28351229.41,17811135.1,17811135.1,39416135.11,39416135.11
17567953.77,17567953.77,28437216.57,28437216.57,17868547.71,17868547.71,40046138.04,40046138.04,17567953.77,17567953.77,28437216.57,28437216.57,17868547.71,17868547.71,40046138.04,40046138.04
17638832.6,17638832.6,28503708.18,28503708.18,17911352.64,17911352.64,40651210.65,40651210.65,17638832.6,17638832.6,28503708.18,28503708.18,17911352.64,17911352.64,40651210.65,40651210.65
17700504.75,17700504.75,28550250.48,28550250.48,17935915.28,17935915.28,41239801.42,41239801.42,17700504.75,17700504.75,28550250.48,28550250.48,17935915.28,17935915.28,41239801.42,41239801.42
17752980.64,17752980.64,28576857.01,28576857.01,17972332.58,17972332.58,41810379.71,41810379.71,17752980.64,17752980.64,28576857.01,28576857.01,17972332.58,17972332.58,41810379.71,41810379.71
17796532.16,17796532.16,28584084.89,28584084.89,17995152.1,17995152.1,42362269.27,42362269.27,17796532.16,17796532.16,28584084.89,28584084.89,17995152.1,17995152.1,42362269.27,42362269.27
17755238.59,17755238.59,28573089.56,28573089.56,18026052.85,18026052.85,42894601.13,42894601.13,17755238.59,17755238.59,28573089.56,28573089.56,18026052.85,18026052.85,42894601.13,42894601.13
17706639.78,17706639.78,28404333.29,28404333.29,18054165.56,18054165.56,43406496.17,43406496.17,17706639.78,17706639.78,28404333.29,28404333.29,18054165.56,18054165.56,43406496.17,43406496.17
17651972.11,17651972.11,28222624.82,28222624.82,18043315.02,18043315.02,43901596.17,43901596.17,17651972.11,17651972.11,28222624.82,28222624.82,18043315.02,18043315.02,43901596.17,43901596.17
17592709.97,17592709.97,28031055.07,28031055.07,17974451.38,17974451.38,44379121.73,44379121.73,17592709.97,17592709.97,28031055.07,28031055.07,17974451.38,17974451.38,44379121.73,44379121.73
17530513.09,17530513.09,27833095.61,27833095.61,17876725.09,17876725.09,44839187.2,44839187.2,17530513.09,17530513.09,27833095.61,27833095.61,17876725.09,17876725.09,44839187.2,44839187.2
17467158.49,17467158.49,27632455.77,27632455.77,17746598.78,17746598.78,45291835.52,45291835.52,17467158.49,17467158.49,27632455.77,27632455.77,17746598.78,17746598.78,45291835.52,45291835.52
