Year,NMC111,NMC523,NMC622,NMC811,NCA,LMO,LTO,LCO,LFP,UnknownLiIon,Unknown,Unspec.
2010,0.944936846,0,0,0,0,0.055063154,0,0,0,0,0,0
2011,0.364242804,0,0,0,0,0.63307168,0,0,0.002685516,0,0,0
2012,0.514494085,0,0,0,0.21011712,0.242009848,0,0,0.031086768,0.00229218,0,0
2013,0.242155075,0,0,0,0.536903769,0.214571559,0,0,0.001016421,0.005353176,0,0
2014,0.290359414,0,0,0,0.459431458,0.246916194,0,0,0,0.003292934,0,0
2015,0.305148139,0.034560319,0,0,0.576860808,0.117977954,0,0,0,1.31E-05,0,0
2016,0.238973422,0.049170341,0.020153575,0,0.691830305,0.069177111,0,0,0,1.92E-05,0,0
2017,0.200748952,0.15328944,0.030893087,0,0.566837234,0.043749607,0,0,0,0.004481679,0,0
2018,0.080969036,0.075716402,0.024812557,0.002804925,0.811258157,0.00271383,0,0,0,0.001724439,6.54E-07,0
2019,0.0849196,0.095475383,0.047300728,0.009396543,0.7597558,0.0019738,0,0,0,0.00115309,2.51E-05,0
2020,0.08087581,0.090928936,0.045048312,0.056568136,0.723576952,0.00187981,0,0,0,0.001098181,2.39E-05,0
2021,0.076832019,0.086382489,0.042795897,0.103739729,0.687398105,0.001785819,0,0,0,0.001043272,2.27E-05,0
2022,0.072788229,0.081836043,0.040543481,0.150911323,0.651219257,0.001691829,0,0,0,0.000988363,2.15E-05,0
2023,0.068744438,0.077289596,0.038291066,0.198082916,0.61504041,0.001597838,0,0,0,0.000933454,2.03E-05,0
2024,0.064700648,0.072743149,0.03603865,0.245254509,0.578861562,0.001503848,0,0,0,0.000878545,1.91E-05,0
2025,0.060656857,0.068196702,0.033786234,0.292426102,0.542682714,0.001409857,0,0,0,0.000823636,1.79E-05,0
2026,0.056613067,0.063650255,0.031533819,0.339597695,0.506503867,0.001315867,0,0,0,0.000768727,1.67E-05,0
2027,0.052569276,0.059103809,0.029281403,0.386769289,0.470325019,0.001221876,0,0,0,0.000713818,1.55E-05,0
2028,0.048525486,0.054557362,0.027028987,0.433940882,0.434146171,0.001127886,0,0,0,0.000658909,1.43E-05,0
2029,0.044481695,0.050010915,0.024776572,0.481112475,0.397967324,0.001033895,0,0,0,0.000604,1.31E-05,0
2030,0.040437905,0.045464468,0.022524156,0.528284068,0.361788476,0.000939905,0,0,0,0.00054909,1.20E-05,0
2031,0.036394114,0.040918021,0.020271741,0.575455661,0.325609629,0.000845914,0,0,0,0.000494181,1.08E-05,0
2032,0.032350324,0.036371574,0.018019325,0.622627254,0.289430781,0.000751924,0,0,0,0.000439272,9.56E-06,0
2033,0.028306533,0.031825128,0.015766909,0.669798848,0.253251933,0.000657933,0,0,0,0.000384363,8.37E-06,0
2034,0.024262743,0.027278681,0.013514494,0.716970441,0.217073086,0.000563943,0,0,0,0.000329454,7.17E-06,0
2035,0.020218952,0.022732234,0.011262078,0.764142034,0.180894238,0.000469952,0,0,0,0.000274545,5.98E-06,0
2036,0.016175162,0.018185787,0.009009662,0.811313627,0.14471539,0.000375962,0,0,0,0.000219636,4.78E-06,0
2037,0.012131371,0.01363934,0.006757247,0.85848522,0.108536543,0.000281971,0,0,0,0.000164727,3.59E-06,0
2038,0.008087581,0.009092894,0.004504831,0.905656814,0.072357695,0.000187981,0,0,0,0.000109818,2.39E-06,0
2039,0.00404379,0.004546447,0.002252416,0.952828407,0.036178848,9.40E-05,0,0,0,5.49E-05,1.20E-06,0
2040,0,0,0,1,0,0,0,0,0,0,0,0
