Year,Cathode,Lithium,Nickel,Cobalt,Manganese,Aluminum,Copper,Graphite
2010,NMC111,0.140680098,0.350975159,0.352290345,0.328437664,3.109790364,0.677382954,0.978412341
2011,NMC111,0.140680098,0.350975159,0.352290345,0.328437664,3.109790364,0.677382954,0.978412341
2012,NMC111,0.140680098,0.350975159,0.352290345,0.328437664,3.109790364,0.677382954,0.978412341
2013,NMC111,0.140680098,0.350975159,0.352290345,0.328437664,3.109790364,0.677382954,0.978412341
2014,NMC111,0.140680098,0.350975159,0.352290345,0.328437664,3.109790364,0.677382954,0.978412341
2015,NMC111,0.140680098,0.350975159,0.352290345,0.328437664,3.109790364,0.677382954,0.978412341
2016,NMC111,0.140680098,0.350975159,0.352290345,0.328437664,3.109790364,0.677382954,0.978412341
2017,NMC111,0.140680098,0.350975159,0.352290345,0.328437664,3.109790364,0.677382954,0.978412341
2018,NMC111,0.140680098,0.350975159,0.352290345,0.328437664,3.109790364,0.677382954,0.978412341
2019,NMC111,0.140680098,0.350975159,0.352290345,0.328437664,3.109790364,0.677382954,0.978412341
2020,NMC111,0.140680098,0.350975159,0.352290345,0.328437664,3.109790364,0.677382954,0.978412341
2021,NMC111,0.140680098,0.350975159,0.352290345,0.328437664,3.109790364,0.677382954,0.978412341
2022,NMC111,0.140680098,0.350975159,0.352290345,0.328437664,3.109790364,0.677382954,0.978412341
2023,NMC111,0.140680098,0.350975159,0.352290345,0.328437664,3.109790364,0.677382954,0.978412341
2024,NMC111,0.140680098,0.350975159,0.352290345,0.328437664,3.109790364,0.677382954,0.978412341
2025,NMC111,0.140680098,0.350975159,0.352290345,0.328437664,3.109790364,0.677382954,0.978412341
2026,NMC111,0.140680098,0.350975159,0.352290345,0.328437664,3.109790364,0.677382954,0.978412341
2027,NMC111,0.140680098,0.350975159,0.352290345,0.328437664,3.109790364,0.677382954,0.978412341
2028,NMC111,0.140680098,0.350975159,0.352290345,0.328437664,3.109790364,0.677382954,0.978412341
2029,NMC111,0.140680098,0.350975159,0.352290345,0.328437664,3.109790364,0.677382954,0.978412341
